"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0031081",15.8734732856118,1.01730103751612,0.442800452704803,2.29742546851983,0.0215945102784829,0.072595369807158
"FBgn0052826",0,NA,NA,NA,NA,NA
"FBgn0031085",0.338752753218265,-1.11011852723899,5.7045389917062,-0.194602671460916,0.845704011520169,NA
"FBgn0062565",2.04128004947941,2.85660259361138,1.65653497141589,1.72444448375863,0.0846276329371411,0.203892902851385
"FBgn0031088",2.62069367532079,1.24605772563576,1.70376258921879,0.731356430479614,0.4645614705489,0.643505533529895
"FBgn0041626",0.229320675754943,1.10440106821761,5.75427429103757,0.191927081046127,0.84779932416452,NA
"FBgn0040784",0.15388509221218,0,5.77025176033593,0,1,NA
"FBgn0031086",0.396432038978846,1.90257431037589,5.22061981124444,0.364434565083255,0.71553352829465,NA
"FBgn0031082",0,NA,NA,NA,NA,NA
"FBgn0031080",7.98361818401979,4.5580236521761,1.41962528318534,3.21072307330906,0.00132401460219947,0.00744202593960549
"FBgn0052821",0,NA,NA,NA,NA,NA
"FBgn0053217",443.764115929538,0.126097737191851,0.182457154156811,0.691108757968883,0.489497196928472,0.662711081784066
"FBgn0052350",450.825113752993,-0.36270394821109,0.132693238700381,-2.73340188063439,0.0062683796774747,0.0269669592466792
"FBgn0024733",17842.492018558,0.196835459535045,0.242716471480645,0.810968692541911,0.417383649980674,0.601656911397688
"FBgn0040372",1876.89759343146,-0.389039288137339,0.233967380136234,-1.66279285561436,0.0963539072427517,0.224057935944951
"FBgn0000316",882.060977028266,0.248255442546944,0.0976402014076584,2.5425535687954,0.0110045731178827,0.042685038075555
"FBgn0024989",2977.90754233559,0.811483276935979,0.112871841281616,7.18942180549111,6.50662708502081e-13,1.93738141164191e-11
"FBgn0040371",0.575639030473911,-0.971709560438545,3.31336391460192,-0.293269796340885,0.769315938202151,NA
"FBgn0029521",0.120073078105534,-0.223529571338831,5.76159525431301,-0.0387964724130008,0.969052657325463,NA
"FBgn0004034",606.188531463735,1.71167469148991,2.14069032348263,0.799590054065007,0.423948351860756,0.608115803027234
"FBgn0000022",238.614278721327,-1.8536121975667,0.239748907605607,-7.73147296510706,1.06309255557914e-14,4.08171589102621e-13
"FBgn0004170",278.840623452519,-2.84544261825257,0.293964077859766,-9.67955894124577,3.6830141704912e-22,3.05809948969322e-20
"FBgn0002561",1.96375012762639,-1.74342557049461,1.39025710685488,-1.25403104353746,0.209830722155191,0.382952316899745
"FBgn0000137",9.40755024539814,-2.47862320494202,1.43307469773476,-1.72958409555339,0.0837046096348612,0.202241584622862
"FBgn0029522",0,NA,NA,NA,NA,NA
"FBgn0052817",4.31852997320737,0.246801111328554,0.773396656945732,0.319113237834789,0.74964064571023,0.852760070688191
"FBgn0029524",27.5131618691383,-0.13151795559272,0.362800474039684,-0.362507672959474,0.716972690715739,0.831434323865089
"FBgn0023536",137.167913587917,-0.103387212110388,0.189282763023697,-0.546205108478073,0.584924955008146,0.737601995986937
