Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0035522,314.6883399,-5.209110874,1.164271549,-4.474137392,7.67E-06,5.18E-05,314.6883399,-6.276049567,1.050848288,-5.97236503,2.34E-09,3.84E-08
FBgn0035625,613.2953887,-10.77084966,1.839371307,-5.855723433,4.75E-09,6.80E-08,613.2953887,-8.651839103,1.497737761,-5.776604774,7.62E-09,1.18E-07
FBgn0035767,220.072415,-2.569490945,0.363471935,-7.069296685,1.56E-12,3.77E-11,220.072415,-2.068384193,0.320074723,-6.462191611,1.03E-10,2.04E-09
FBgn0035865,58.51520919,-6.611909905,0.837618417,-7.893701679,2.93E-15,1.06E-13,58.51520919,-2.639470996,0.410179274,-6.434920439,1.24E-10,2.42E-09
FBgn0035976,51.12028617,-3.376464421,0.616143376,-5.479997926,4.25E-08,4.89E-07,51.12028617,-1.525863304,0.514164505,-2.967655854,0.003000801,0.012234983
FBgn0036316,967.6842863,-2.945243445,0.902757629,-3.262496321,0.001104356,0.003926775,967.6842863,-2.03860692,0.806328199,-2.52825949,0.011462959,0.037127418
FBgn0036428,137.0548423,-4.105171297,0.813673596,-5.045231054,4.53E-07,4.09E-06,137.0548423,-4.361368559,0.727967158,-5.991161154,2.08E-09,3.47E-08
FBgn0036436,603.9319822,-3.992061933,0.548888571,-7.272991539,3.52E-13,9.33E-12,603.9319822,-2.498209067,0.486114616,-5.139135889,2.76E-07,3.25E-06
FBgn0036678,230.8438965,-3.789589149,0.730848744,-5.185189385,2.16E-07,2.11E-06,230.8438965,-2.614014701,0.646336391,-4.04435637,5.25E-05,0.000370066
FBgn0036801,317.3304419,-2.123324684,0.277707089,-7.645914588,2.07E-14,6.62E-13,317.3304419,-1.817765504,0.244727906,-7.427700161,1.11E-13,3.55E-12
FBgn0037164,163.5775282,-1.594570564,0.459375232,-3.471172265,0.000518191,0.002047186,163.5775282,-2.412199079,0.415229569,-5.809314313,6.27E-09,9.77E-08
FBgn0037323,57.33573407,-7.874223422,1.251939008,-6.289622233,3.18E-10,5.69E-09,57.33573407,-3.541506807,0.696728892,-5.083048585,3.71E-07,4.28E-06
FBgn0037525,232.0718966,-1.77185928,0.379328336,-4.671043821,3.00E-06,2.24E-05,232.0718966,-1.401534405,0.335370581,-4.179061864,2.93E-05,0.00022141
FBgn0037664,120.7780865,-2.18934539,0.517411775,-4.231340479,2.32E-05,0.00013698,120.7780865,-2.442920177,0.463288128,-5.273004054,1.34E-07,1.68E-06
FBgn0037665,120.2255321,-7.459425116,1.703901271,-4.377850549,1.20E-05,7.62E-05,120.2255321,-6.473564213,1.463421295,-4.423582077,9.71E-06,8.23E-05
FBgn0038151,169.7304518,-3.704754594,0.489987362,-7.560918664,4.00E-14,1.23E-12,169.7304518,-1.994595619,0.416799444,-4.785504514,1.71E-06,1.73E-05
FBgn0038511,164.8836259,-4.898439186,0.670501276,-7.305637377,2.76E-13,7.46E-12,164.8836259,-4.520947563,0.586351626,-7.710301057,1.26E-14,4.58E-13
FBgn0038652,135.2795574,-3.734380092,0.660879951,-5.650617916,1.60E-08,2.02E-07,135.2795574,-2.958351615,0.582537898,-5.078384815,3.81E-07,4.38E-06
FBgn0039411,101.682586,-7.733823994,0.962291505,-8.036882748,9.22E-16,3.48E-14,101.682586,-1.829031115,0.425992593,-4.293574926,1.76E-05,0.000141856
FBgn0039479,175.7246069,-8.339422668,1.246696226,-6.689217868,2.24E-11,4.74E-10,175.7246069,-5.500781443,0.977261769,-5.62876971,1.81E-08,2.64E-07
FBgn0039795,580.73399,-13.76445774,2.4229014,-5.680981379,1.34E-08,1.72E-07,580.73399,-9.954564996,1.817533142,-5.476964775,4.33E-08,5.89E-07
FBgn0040717,56.99033923,-1.45761971,0.572233465,-2.547246532,0.01085767,0.027790282,56.99033923,-1.462937784,0.509447108,-2.871618586,0.004083755,0.015837119
FBgn0052447,908.0565899,-3.786911192,0.57004107,-6.643225179,3.07E-11,6.31E-10,908.0565899,-3.776989724,0.509211947,-7.417323462,1.20E-13,3.75E-12
