Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0026315,109.9839231,2.549612373,0.372345761,6.847432247,7.52E-12,2.14E-10,109.9839231,2.853494874,0.370292632,7.7060536,1.30E-14,4.68E-13
FBgn0026403,924.4655268,6.536916033,0.34108025,19.16533145,7.21E-82,1.43E-78,924.4655268,3.376890698,0.346291976,9.751570745,1.82E-22,1.50E-20
FBgn0027657,163.9386821,1.696677486,0.352784243,4.809391352,1.51E-06,1.82E-05,163.9386821,1.880119343,0.351872476,5.343183878,9.13E-08,1.26E-06
FBgn0028408,89.26284993,2.099373055,0.429654527,4.88618861,1.03E-06,1.28E-05,89.26284993,2.000270289,0.42919635,4.660501626,3.15E-06,3.33E-05
FBgn0028482,124.6214746,4.104469866,0.765599774,5.361116873,8.27E-08,1.27E-06,124.6214746,5.747534517,0.761570052,7.546954485,4.46E-14,1.48E-12
FBgn0028527,2319.625226,2.167454942,0.185284216,11.69800099,1.30E-31,2.77E-29,2319.625226,2.552332808,0.185005091,13.79601392,2.69E-43,9.90E-41
FBgn0028543,107.0078229,3.675755833,0.938251416,3.917666171,8.94E-05,0.000697022,107.0078229,4.011585476,0.937420655,4.279386693,1.87E-05,0.000166952
FBgn0028550,1442.257624,1.675236565,0.389336396,4.302799794,1.69E-05,0.000157304,1442.257624,2.742906114,0.38891236,7.052761491,1.75E-12,4.73E-11
FBgn0028886,680.3166423,4.572783192,0.416143382,10.98847991,4.34E-28,7.06E-26,680.3166423,4.746412933,0.415932459,11.41149922,3.66E-30,5.86E-28
FBgn0028940,348.7962291,7.139933969,1.248380484,5.71935725,1.07E-08,1.92E-07,348.7962291,5.330181204,1.252606443,4.255272066,2.09E-05,0.000183532
FBgn0029766,9616.239313,2.871965836,0.637889664,4.502292479,6.72E-06,7.00E-05,9616.239313,2.140357934,0.637975181,3.354923511,0.000793869,0.004647999
FBgn0029791,3837.457762,1.752875898,0.15527273,11.28901321,1.49E-29,2.68E-27,3837.457762,1.531961578,0.155279988,9.865801757,5.86E-23,5.10E-21
FBgn0029881,2368.852783,2.234887038,0.300195909,7.444761814,9.71E-14,3.36E-12,2368.852783,2.499478469,0.300086571,8.329191343,8.14E-17,3.88E-15
FBgn0030052,1098.345263,1.905997756,0.343988729,5.540872702,3.01E-08,5.05E-07,1098.345263,2.712444282,0.343432503,7.898041848,2.83E-15,1.13E-13
FBgn0030300,82.73446306,2.222134131,0.359650614,6.178591229,6.47E-10,1.43E-08,82.73446306,2.572731117,0.356517781,7.216277146,5.34E-13,1.56E-11
FBgn0030309,3449.94451,2.711263562,0.233579578,11.60745125,3.78E-31,7.50E-29,3449.94451,4.24315155,0.233168129,18.19781962,5.37E-74,1.33E-70
FBgn0030310,251.3630259,4.695468022,0.560390594,8.378920124,5.34E-17,2.83E-15,251.3630259,6.967498787,0.557125462,12.50615751,6.91E-36,1.71E-33
FBgn0030482,3322.1009,2.806063807,0.36221564,7.746942697,9.41E-15,3.63E-13,3322.1009,2.441529144,0.362250683,6.739888302,1.59E-11,3.86E-10
FBgn0030511,165.383497,2.243402319,0.269184732,8.334062271,7.81E-17,4.12E-15,165.383497,2.456573087,0.267605031,9.179846425,4.32E-20,2.88E-18
FBgn0030723,81.79109407,5.929342147,0.975331242,6.079311207,1.21E-09,2.52E-08,81.79109407,5.310576229,0.977212215,5.434414496,5.50E-08,7.81E-07
FBgn0030904,746.7986633,7.38799008,0.880913236,8.386739783,5.00E-17,2.67E-15,746.7986633,7.096265275,0.880969608,8.055062523,7.94E-16,3.47E-14
FBgn0030912,177.1477133,2.851663094,0.249002082,11.45236649,2.29E-30,4.37E-28,177.1477133,1.78695448,0.252895381,7.065983066,1.59E-12,4.35E-11
FBgn0030926,69.26853732,3.448716364,0.474181267,7.272991586,3.52E-13,1.13E-11,69.26853732,2.736993379,0.477544266,5.731391982,9.96E-09,1.60E-07
FBgn0030964,410.5610746,2.565218928,0.509981013,5.030028305,4.90E-07,6.42E-06,410.5610746,3.344857837,0.509136685,6.569665736,5.04E-11,1.15E-09
FBgn0031089,354.0792771,3.361134897,0.316332352,10.6253277,2.27E-26,2.87E-24,354.0792771,5.236949166,0.313090271,16.7266429,8.38E-63,9.24E-60
FBgn0031170,401.9099956,2.185381404,0.386814493,5.649688531,1.61E-08,2.81E-07,401.9099956,2.473462104,0.386249503,6.403793621,1.52E-10,3.23E-09
FBgn0031255,309.4963958,2.425291921,0.230876061,10.50473537,8.22E-26,9.48E-24,309.4963958,1.581018943,0.232875827,6.789107148,1.13E-11,2.79E-10
FBgn0031263,421.2800605,1.630037627,0.381647561,4.271054745,1.95E-05,0.0001793,421.2800605,1.408093062,0.381683898,3.68916024,0.000224995,0.001554913
FBgn0031468,223.3623137,1.727098335,0.380195128,4.542662983,5.55E-06,5.88E-05,223.3623137,2.724673539,0.377137041,7.22462459,5.02E-13,1.47E-11
FBgn0031630,66.41123854,2.266763571,0.342415422,6.619922547,3.59E-11,9.44E-10,66.41123854,2.67317232,0.337777982,7.913992221,2.49E-15,1.01E-13
FBgn0031646,99.34025461,4.705336482,0.53413227,8.809309507,1.26E-18,8.17E-17,99.34025461,3.34019718,0.539667881,6.189357009,6.04E-10,1.18E-08
FBgn0031689,899.7395063,7.834892311,1.194404983,6.559661438,5.39E-11,1.39E-09,899.7395063,3.144118989,1.214050525,2.589776062,0.009603838,0.037331959
FBgn0031737,909.8036785,7.176716884,0.431304969,16.63954141,3.60E-62,3.97E-59,909.8036785,5.290013534,0.432422249,12.23344438,2.06E-34,4.65E-32
FBgn0031926,719.4278466,1.468997782,0.275103401,5.339802339,9.30E-08,1.41E-06,719.4278466,1.66509509,0.274685774,6.061817701,1.35E-09,2.49E-08
FBgn0031975,359.9541227,4.003312311,0.465795754,8.594565914,8.36E-18,4.88E-16,359.9541227,5.283499996,0.464660189,11.370675,5.85E-30,9.08E-28
FBgn0032010,167.1193759,2.376683244,0.437252083,5.435498962,5.46E-08,8.70E-07,167.1193759,5.141770713,0.4280607,12.01177945,3.08E-33,6.00E-31
FBgn0032022,114.312186,2.156258914,0.303889733,7.095530652,1.29E-12,3.97E-11,114.312186,1.803672179,0.304578523,5.921862644,3.18E-09,5.46E-08
FBgn0032130,292.1643751,1.456047754,0.23802491,6.117207456,9.52E-10,2.03E-08,292.1643751,1.619983413,0.237053296,6.833836271,8.27E-12,2.09E-10
FBgn0032140,526.1211262,1.733678465,0.407949185,4.249741213,2.14E-05,0.000195212,526.1211262,3.882491393,0.405089271,9.584285917,9.31E-22,7.22E-20
FBgn0032156,536.5929849,1.591458063,0.319011459,4.98871754,6.08E-07,7.78E-06,536.5929849,4.77633678,0.313168787,15.25163739,1.61E-52,9.37E-50
FBgn0032284,119.6645764,3.175968337,0.515926621,6.155852809,7.47E-10,1.62E-08,119.6645764,4.299441573,0.512733047,8.385341256,5.06E-17,2.47E-15
FBgn0032285,198.7314523,4.587687543,0.984291904,4.660901432,3.15E-06,3.49E-05,198.7314523,10.05951356,0.969890957,10.37179849,3.33E-25,3.41E-23
FBgn0032297,790.9707464,3.710306582,0.374112118,9.917632723,3.49E-23,3.30E-21,790.9707464,4.403003637,0.373588009,11.78571992,4.62E-32,8.05E-30
FBgn0032422,89.04900464,2.281876566,0.410466234,5.559230889,2.71E-08,4.58E-07,89.04900464,2.61891183,0.407451038,6.427549774,1.30E-10,2.80E-09
FBgn0032587,1002.857983,3.198619026,0.421535518,7.588017836,3.25E-14,1.17E-12,1002.857983,3.283726351,0.4213636,7.793094486,6.54E-15,2.51E-13
FBgn0032601,1261.319879,2.993175668,0.265978002,11.25347074,2.23E-29,3.95E-27,1261.319879,3.870105177,0.265396825,14.58233411,3.64E-48,1.81E-45
FBgn0032699,473.6858591,1.685586055,0.216281462,7.793483724,6.52E-15,2.59E-13,473.6858591,2.773487289,0.213702271,12.97827708,1.62E-38,4.61E-36
FBgn0032805,265.6356554,2.551245576,0.273548781,9.32647395,1.09E-20,9.13E-19,265.6356554,2.506700002,0.272905402,9.1852341,4.11E-20,2.75E-18
FBgn0032897,950.2638115,3.139699541,0.444303597,7.066563412,1.59E-12,4.86E-11,950.2638115,4.676122104,0.443505191,10.54355665,5.44E-26,5.93E-24
FBgn0032900,54.01093455,3.129945525,0.998343571,3.135138659,0.001717729,0.008906344,54.01093455,4.914012738,0.986685707,4.980322205,6.35E-07,7.62E-06
FBgn0033033,6189.49322,2.257072832,0.444423201,5.078656621,3.80E-07,5.11E-06,6189.49322,3.863279273,0.44428113,8.695573615,3.45E-18,1.90E-16
FBgn0033113,188.8251723,2.209987305,0.361872468,6.107088815,1.01E-09,2.15E-08,188.8251723,2.018427981,0.361838855,5.578251075,2.43E-08,3.63E-07
FBgn0033115,224.3901536,1.436738597,0.328647122,4.371675583,1.23E-05,0.00011868,224.3901536,1.462936788,0.32787533,4.461869052,8.12E-06,7.84E-05
FBgn0033127,1521.15261,1.685777134,0.154142674,10.93647261,7.71E-28,1.18E-25,1521.15261,1.478926613,0.154147147,9.594252247,8.45E-22,6.61E-20
FBgn0033134,697.8867361,5.019351033,0.566600204,8.858717306,8.09E-19,5.43E-17,697.8867361,5.180846333,0.566419269,9.146663281,5.87E-20,3.88E-18
FBgn0033204,213.3857365,3.071798996,0.88271267,3.479953446,0.000501501,0.003107364,213.3857365,3.695549781,0.867260499,4.261176182,2.03E-05,0.000179705
FBgn0033446,7266.965929,2.682266203,0.289603882,9.261844791,2.01E-20,1.65E-18,7266.965929,2.705211865,0.289584543,9.341699778,9.48E-21,6.70E-19
FBgn0033504,478.9568737,1.583626997,0.351338388,4.507412376,6.56E-06,6.85E-05,478.9568737,2.726376627,0.349810027,7.793877871,6.50E-15,2.51E-13
FBgn0033592,255.5224326,10.52136964,1.318872526,7.977548571,1.49E-15,6.61E-14,255.5224326,8.714471374,1.320825019,6.597748565,4.17E-11,9.64E-10
FBgn0033598,120.8241736,9.723054768,1.268558364,7.664649133,1.79E-14,6.67E-13,120.8241736,10.07227186,1.268009109,7.943375006,1.97E-15,8.04E-14
FBgn0033667,123.1712253,4.923365317,0.654695545,7.520083734,5.47E-14,1.95E-12,123.1712253,2.412416245,0.663916198,3.633615583,0.000279477,0.00188036
FBgn0033668,997.6720965,3.979043778,0.285991238,13.91316675,5.27E-44,2.38E-41,997.6720965,3.050963441,0.286532913,10.64786383,1.78E-26,2.13E-24
FBgn0033919,5099.702748,2.105565194,0.204824926,10.27982891,8.69E-25,9.47E-23,5099.702748,2.468916264,0.204719566,12.05999171,1.72E-33,3.63E-31
FBgn0033926,4423.723021,3.013727614,0.603037666,4.997577738,5.81E-07,7.48E-06,4423.723021,3.975418013,0.602547991,6.597678648,4.18E-11,9.64E-10
FBgn0033978,360.1746715,4.538120556,0.804207138,5.642974727,1.67E-08,2.92E-07,360.1746715,2.813072744,0.807366301,3.484258312,0.000493503,0.003101661
