Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0023507,417.4081853,2.533284559,0.228154283,11.10338374,1.21E-28,2.03E-26,417.4081853,2.095812962,0.253892678,8.254719988,1.52E-16,6.43E-15
FBgn0024912,192.0823391,1.431128975,0.388864725,3.680274611,0.000232983,0.001371366,192.0823391,2.566880752,0.428494935,5.990457627,2.09E-09,3.18E-08
FBgn0025631,1141.287034,3.401424367,0.398541081,8.534689469,1.41E-17,7.26E-16,1141.287034,3.329972379,0.444369271,7.493705345,6.70E-14,1.98E-12
FBgn0025643,52.32662567,4.448788309,0.6689672,6.650233836,2.93E-11,6.33E-10,52.32662567,3.58575821,0.734627936,4.881053431,1.06E-06,8.77E-06
FBgn0026315,109.9839231,2.247770627,0.374176707,6.007243597,1.89E-09,3.17E-08,109.9839231,3.360014361,0.404637122,8.303771887,1.01E-16,4.37E-15
FBgn0026403,924.4655268,2.709478617,0.351566294,7.70687822,1.29E-14,4.67E-13,924.4655268,6.250180549,0.364882445,17.12929914,8.97E-66,9.89E-63
FBgn0027581,168.18622,1.656670529,0.475806674,3.481814401,0.000498029,0.002650441,168.18622,4.089856997,0.52081157,7.852853573,4.07E-15,1.45E-13
FBgn0028473,14045.40296,1.550567843,0.218002315,7.112621007,1.14E-12,3.07E-11,14045.40296,2.211080905,0.243653219,9.074704266,1.14E-19,7.35E-18
FBgn0028482,124.6214746,5.83398299,0.761736399,7.658795088,1.88E-14,6.56E-13,124.6214746,5.795236121,0.829917568,6.982905703,2.89E-12,6.83E-11
FBgn0028527,2319.625226,3.169692668,0.184873512,17.1451964,6.83E-66,7.53E-63,2319.625226,2.569850279,0.206225606,12.46135397,1.21E-35,3.01E-33
FBgn0028550,1442.257624,2.831192068,0.388943657,7.279183029,3.36E-13,9.89E-12,1442.257624,1.507527397,0.435069197,3.465029033,0.000530174,0.002087048
FBgn0028886,680.3166423,3.470119171,0.417254008,8.316562829,9.06E-17,4.28E-15,680.3166423,5.040920827,0.460088391,10.9564182,6.19E-28,9.11E-26
FBgn0028940,348.7962291,4.87370371,1.256483165,3.878845212,0.000104954,0.000682095,348.7962291,7.277098084,1.328286331,5.478561297,4.29E-08,4.92E-07
FBgn0029095,4126.993546,1.448788125,0.209921505,6.901570789,5.14E-12,1.29E-10,4126.993546,1.69651514,0.234511824,7.234241378,4.68E-13,1.23E-11
FBgn0029506,8511.251969,1.815907716,0.101104494,17.9607022,3.96E-72,5.61E-69,8511.251969,1.664242073,0.112927109,14.73731225,3.71E-49,2.46E-46
FBgn0029588,86.55922733,2.094245741,0.402088699,5.208417314,1.90E-07,2.32E-06,86.55922733,2.452592014,0.442801501,5.538806916,3.05E-08,3.58E-07
FBgn0029766,9616.239313,3.197570087,0.637854378,5.013009548,5.36E-07,6.03E-06,9616.239313,3.909077006,0.712775557,5.484302829,4.15E-08,4.77E-07
FBgn0029881,2368.852783,2.195554374,0.300216371,7.313240016,2.61E-13,7.77E-12,2368.852783,1.713944303,0.335539949,5.108018608,3.26E-07,3.05E-06
FBgn0030052,1098.345263,2.622135538,0.343570504,7.632015878,2.31E-14,7.96E-13,1098.345263,2.160559362,0.383677913,5.631179928,1.79E-08,2.22E-07
FBgn0030300,82.73446306,3.024506726,0.355650298,8.504159115,1.83E-17,9.41E-16,82.73446306,2.408848215,0.39253457,6.136652413,8.43E-10,1.40E-08
FBgn0030309,3449.94451,4.32823645,0.233186933,18.56123068,6.62E-77,2.19E-73,3449.94451,3.817540814,0.259985648,14.68365985,8.20E-49,5.09E-46
FBgn0030310,251.3630259,6.504505649,0.557571946,11.66576923,1.91E-31,3.71E-29,251.3630259,6.06703645,0.600302177,10.10663743,5.16E-24,5.28E-22
FBgn0030482,3322.1009,2.785861032,0.362226311,7.690940563,1.46E-14,5.21E-13,3322.1009,3.298330386,0.404472516,8.154646493,3.50E-16,1.38E-14
FBgn0030511,165.383497,1.772106633,0.271820609,6.519397638,7.06E-11,1.45E-09,165.383497,2.555825188,0.294094104,8.690501282,3.61E-18,1.87E-16
FBgn0030723,81.79109407,3.317446493,1.005660113,3.298775053,0.000971077,0.004662297,81.79109407,5.963493023,1.008144412,5.915316249,3.31E-09,4.91E-08
FBgn0030904,746.7986633,6.730497457,0.881433868,7.635850744,2.24E-14,7.78E-13,746.7986633,7.30119459,0.952447556,7.665718229,1.78E-14,5.79E-13
FBgn0030926,69.26853732,2.423781346,0.483206685,5.016034383,5.27E-07,5.94E-06,69.26853732,3.912475503,0.507960333,7.70232487,1.34E-14,4.41E-13
FBgn0030964,410.5610746,3.166054769,0.509423239,6.214979066,5.13E-10,9.42E-09,410.5610746,2.775794621,0.567974911,4.887178235,1.02E-06,8.52E-06
FBgn0031089,354.0792771,4.366376627,0.314257237,13.89427551,6.86E-44,3.10E-41,354.0792771,3.768569254,0.343280156,10.97811566,4.87E-28,7.32E-26
FBgn0031170,401.9099956,2.285268876,0.386726397,5.909265296,3.44E-09,5.48E-08,401.9099956,1.939543992,0.431428701,4.495630423,6.94E-06,4.73E-05
FBgn0031255,309.4963958,1.796715467,0.233025659,7.71037609,1.25E-14,4.58E-13,309.4963958,3.285217462,0.252228449,13.0247697,8.85E-39,3.03E-36
FBgn0031263,421.2800605,1.98065739,0.381164316,5.196334778,2.03E-07,2.45E-06,421.2800605,2.601551774,0.423928738,6.136766734,8.42E-10,1.40E-08
FBgn0031461,2467.212756,3.070140649,1.016602419,3.020001323,0.002527736,0.010606871,2467.212756,5.100732004,1.135327819,4.49273938,7.03E-06,4.79E-05
FBgn0031468,223.3623137,3.314495284,0.376618383,8.800673122,1.36E-18,7.99E-17,223.3623137,2.250631579,0.420082365,5.357595955,8.43E-08,9.03E-07
FBgn0031630,66.41123854,2.274673908,0.342783464,6.635891592,3.23E-11,6.93E-10,66.41123854,3.062381192,0.36364244,8.421407557,3.72E-17,1.73E-15
