Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0032350,870.028261,-3.4234097,0.433106091,-7.904321306,2.69E-15,1.14E-13,870.028261,-2.454805266,0.431183897,-5.693174723,1.25E-08,1.97E-07
FBgn0032666,562.7055024,-5.308423112,0.844888316,-6.282987954,3.32E-10,7.65E-09,562.7055024,-2.964375012,0.838699087,-3.534491758,0.00040856,0.002620912
FBgn0032693,235.646956,-2.767346325,0.45852132,-6.035371109,1.59E-09,3.24E-08,235.646956,-2.21292247,0.4554406,-4.858860781,1.18E-06,1.34E-05
FBgn0032803,113.6003551,-6.357480332,0.73524283,-8.646776378,5.30E-18,3.17E-16,113.6003551,-1.938860377,0.614031133,-3.15759295,0.001590775,0.008478438
FBgn0033654,74.4468176,-2.491171824,0.44158348,-5.641451585,1.69E-08,2.93E-07,74.4468176,-1.63803317,0.423746632,-3.865595724,0.000110818,0.000826267
FBgn0033785,512.7503217,-1.770179147,0.268986631,-6.580918689,4.68E-11,1.22E-09,512.7503217,-1.538731746,0.268040005,-5.740679433,9.43E-09,1.52E-07
FBgn0033866,54.62855349,-4.505402354,0.471230985,-9.560921293,1.17E-21,1.02E-19,54.62855349,-4.135343753,0.436122391,-9.482071637,2.49E-21,1.90E-19
FBgn0034030,64.3991655,-4.359148001,0.485156607,-8.985032742,2.59E-19,1.86E-17,64.3991655,-3.42240897,0.446712814,-7.661318105,1.84E-14,6.55E-13
FBgn0034438,516.7644808,-3.856281791,0.803984504,-4.79646283,1.61E-06,1.92E-05,516.7644808,-3.046233077,0.802343656,-3.796668741,0.000146654,0.001055395
FBgn0034462,398.1279277,-7.317315955,1.193617753,-6.130367896,8.77E-10,1.89E-08,398.1279277,-3.73687671,1.169329425,-3.195743328,0.001394711,0.00755932
FBgn0034468,75.11524544,-5.009073515,0.586702555,-8.537671218,1.37E-17,7.86E-16,75.11524544,-1.935438147,0.494659671,-3.912666145,9.13E-05,0.000696302
FBgn0034753,8005.729519,-1.821204002,0.235403298,-7.73652714,1.02E-14,3.91E-13,8005.729519,-1.403146233,0.235299083,-5.963245657,2.47E-09,4.35E-08
FBgn0034785,96.9489745,-2.852786756,0.360731193,-7.908345083,2.61E-15,1.11E-13,96.9489745,-2.088137065,0.347411592,-6.01055668,1.85E-09,3.32E-08
FBgn0034808,50.61171904,-3.17523738,0.367522595,-8.639570531,5.64E-18,3.35E-16,50.61171904,-2.49329493,0.331472715,-7.521870786,5.40E-14,1.77E-12
FBgn0034974,676.8539358,-2.872643514,0.351475741,-8.17309184,3.01E-16,1.46E-14,676.8539358,-1.498040714,0.348417225,-4.299559853,1.71E-05,0.000153977
FBgn0035056,86.36015933,-3.073626505,0.539969205,-5.692225553,1.25E-08,2.23E-07,86.36015933,-2.311244031,0.529359357,-4.36611538,1.26E-05,0.000117523
FBgn0035452,666.4693104,-1.714627374,0.176715883,-9.70273492,2.94E-22,2.60E-20,666.4693104,-1.657145489,0.175835747,-9.424394717,4.33E-21,3.18E-19
FBgn0035522,314.6883399,-4.60384867,1.035522966,-4.445916529,8.75E-06,8.81E-05,314.6883399,-3.049379025,1.030714694,-2.958509317,0.003091309,0.014751684
FBgn0035767,220.072415,-2.158494461,0.320355988,-6.737799632,1.61E-11,4.47E-10,220.072415,-2.436997326,0.320737466,-7.598106196,3.00E-14,1.03E-12
FBgn0035865,58.51520919,-5.700662646,0.568682245,-10.0243373,1.19E-23,1.18E-21,58.51520919,-3.641022224,0.426843437,-8.530111773,1.46E-17,7.52E-16
FBgn0035956,169.6531327,-4.074594992,0.281072538,-14.49659586,1.27E-47,6.65E-45,169.6531327,-1.692359364,0.240816102,-7.027600509,2.10E-12,5.58E-11
FBgn0035976,51.12028617,-3.023247089,0.534279611,-5.658548497,1.53E-08,2.68E-07,51.12028617,-2.201658833,0.518160363,-4.248991216,2.15E-05,0.000187922
FBgn0036316,967.6842863,-2.548167398,0.806695206,-3.158773451,0.001584346,0.008312402,967.6842863,-3.051841634,0.807001795,-3.78170365,0.000155759,0.001113652
FBgn0036416,51.37390683,-2.017065382,0.72395936,-2.786158301,0.005333682,0.022620281,51.37390683,-1.78425361,0.719684019,-2.479218049,0.013167078,0.048022818
FBgn0036428,137.0548423,-3.372009569,0.715523157,-4.712649114,2.45E-06,2.77E-05,137.0548423,-2.748350405,0.710234714,-3.869636829,0.000108998,0.000815873
FBgn0036436,603.9319822,-3.629846866,0.488471159,-7.431036195,1.08E-13,3.67E-12,603.9319822,-2.872571858,0.486327593,-5.906660242,3.49E-09,5.94E-08
FBgn0036463,275.7509445,-2.419397071,0.416552046,-5.808150729,6.32E-09,1.19E-07,275.7509445,-1.73846205,0.413189556,-4.207420115,2.58E-05,0.000222904
FBgn0036678,230.8438965,-2.951449374,0.647368035,-4.559152155,5.14E-06,5.50E-05,230.8438965,-2.783624623,0.64614036,-4.308080402,1.65E-05,0.000148569
FBgn0036862,321.6986505,-2.05065381,0.551009918,-3.721627766,0.000197943,0.001386297,321.6986505,-2.472011449,0.551789966,-4.479986229,7.46E-06,7.28E-05
FBgn0037164,163.5775282,-2.208434144,0.413352204,-5.342741914,9.16E-08,1.39E-06,163.5775282,-1.913896584,0.410337001,-4.664206692,3.10E-06,3.28E-05
FBgn0037323,57.33573407,-7.617120152,0.995043978,-7.655058792,1.93E-14,7.16E-13,57.33573407,-4.187677785,0.704005417,-5.948360174,2.71E-09,4.70E-08
FBgn0037664,120.7780865,-2.302686141,0.461510062,-4.989460322,6.05E-07,7.76E-06,120.7780865,-1.59107413,0.455191361,-3.495396151,0.000473359,0.002986402
FBgn0038071,800.7932916,-1.505461746,0.349535849,-4.307031027,1.65E-05,0.000155055,800.7932916,-2.697280938,0.351275241,-7.678539861,1.61E-14,5.76E-13
FBgn0038151,169.7304518,-2.571543685,0.420263154,-6.118889234,9.42E-10,2.02E-08,169.7304518,-2.18238855,0.416502718,-5.239794263,1.61E-07,2.12E-06
FBgn0038180,425.8617926,-2.064605573,0.590066363,-3.498937921,0.000467115,0.002928397,425.8617926,-3.114895954,0.592140495,-5.26040016,1.44E-07,1.91E-06
FBgn0038511,164.8836259,-3.393211077,0.572380592,-5.928242723,3.06E-09,6.02E-08,164.8836259,-3.28261458,0.570140359,-5.757555188,8.53E-09,1.39E-07
FBgn0038652,135.2795574,-3.139751054,0.58342649,-5.38157096,7.38E-08,1.15E-06,135.2795574,-4.149730659,0.59023022,-7.030698387,2.06E-12,5.48E-11
FBgn0039411,101.682586,-6.641938876,0.622359625,-10.67218793,1.37E-26,1.84E-24,101.682586,-3.106651218,0.435506411,-7.133422478,9.79E-13,2.76E-11
FBgn0039479,175.7246069,-9.298014424,1.194092227,-7.786680302,6.88E-15,2.71E-13,175.7246069,-3.993375356,0.963376832,-4.145185169,3.40E-05,0.000285075
FBgn0039938,242.8616584,-1.888484665,0.403409135,-4.681313592,2.85E-06,3.19E-05,242.8616584,-3.14446554,0.410604375,-7.658139402,1.89E-14,6.69E-13
FBgn0040321,1564.910296,-1.970157228,0.184298284,-10.69004652,1.13E-26,1.56E-24,1564.910296,-1.476342713,0.183417954,-8.049063269,8.34E-16,3.63E-14
FBgn0050463,791.4703639,-1.478803195,0.250083604,-5.913235296,3.35E-09,6.55E-08,791.4703639,-1.41992364,0.249602576,-5.688737929,1.28E-08,2.02E-07
FBgn0051475,223.7870998,-1.417953863,0.189310497,-7.490096341,6.88E-14,2.41E-12,223.7870998,-2.057535652,0.192860578,-10.66851334,1.43E-26,1.75E-24
FBgn0052447,908.0565899,-2.726160332,0.507422478,-5.372565169,7.76E-08,1.20E-06,908.0565899,-2.946856424,0.507446935,-5.807220852,6.35E-09,1.05E-07
FBgn0053531,75.44729198,-1.930946018,0.429818986,-4.492463294,7.04E-06,7.29E-05,75.44729198,-2.597402336,0.436263565,-5.953745728,2.62E-09,4.57E-08
FBgn0060296,439.5401318,-2.485753699,0.315042802,-7.890209462,3.02E-15,1.26E-13,439.5401318,-2.408584297,0.313865071,-7.673948196,1.67E-14,5.95E-13
FBgn0063127,121.1373339,-5.220937489,0.588002888,-8.879101783,6.74E-19,4.65E-17,121.1373339,-3.410767124,0.548371586,-6.219810086,4.98E-10,9.84E-09
FBgn0083940,331.5627448,-1.537462901,0.189477905,-8.114206796,4.89E-16,2.31E-14,331.5627448,-1.674004069,0.188991457,-8.857564774,8.18E-19,4.80E-17
FBgn0085409,784.6386234,-2.335439082,0.518687055,-4.502597589,6.71E-06,7.00E-05,784.6386234,-2.965734156,0.519295081,-5.711076932,1.12E-08,1.79E-07
FBgn0085424,2305.046152,-1.692035101,0.155065812,-10.91172242,1.01E-27,1.52E-25,2305.046152,-1.861326732,0.155033974,-12.00592805,3.31E-33,6.31E-31
FBgn0085732,102.2220739,-1.62031416,0.27516654,-5.888485424,3.90E-09,7.57E-08,102.2220739,-1.936959649,0.276151453,-7.014120783,2.31E-12,6.11E-11
FBgn0250839,107.5810438,-4.080710548,0.515331698,-7.918609627,2.40E-15,1.03E-13,107.5810438,-2.290209598,0.483367574,-4.738029034,2.16E-06,2.35E-05
FBgn0250869,146.8886604,-2.969176764,0.482132783,-6.15842122,7.35E-10,1.61E-08,146.8886604,-1.997680343,0.473089434,-4.222627263,2.41E-05,0.000209289
FBgn0250907,10835.38448,-1.854718458,0.410162988,-4.521905953,6.13E-06,6.44E-05,10835.38448,-1.501433342,0.410122471,-3.660938987,0.000251293,0.001712794
FBgn0260746,84.51431369,-5.281728058,0.79593563,-6.635873376,3.23E-11,8.51E-10,84.51431369,-2.746519429,0.742981294,-3.696619888,0.000218489,0.001513109
FBgn0261705,72.91675527,-2.619793341,0.328843234,-7.96669377,1.63E-15,7.19E-14,72.91675527,-1.606378555,0.305308388,-5.261494991,1.43E-07,1.91E-06
FBgn0263109,535.8202747,-1.463554305,0.423631872,-3.454778552,0.000550745,0.003367587,535.8202747,-2.749819857,0.425981991,-6.455249075,1.08E-10,2.37E-09
FBgn0263236,465.0256758,-4.891059005,0.745085854,-6.564423387,5.22E-11,1.35E-09,465.0256758,-2.275434433,0.737665298,-3.084643456,0.002037963,0.010446666
FBgn0263380,135.731297,-4.485094868,0.642776141,-6.977693448,3.00E-12,8.86E-11,135.731297,-3.20393254,0.626178337,-5.116645454,3.11E-07,3.95E-06
FBgn0264273,2394.235125,-1.674156658,0.271975614,-6.155539586,7.48E-10,1.62E-08,2394.235125,-1.771923592,0.271918961,-6.516366433,7.20E-11,1.62E-09
FBgn0264574,277.3762377,-3.052060839,0.376603447,-8.104176589,5.31E-16,2.49E-14,277.3762377,-2.425613397,0.372421176,-6.513092033,7.36E-11,1.65E-09
FBgn0265011,761.7153474,-2.179420177,0.541814591,-4.022446444,5.76E-05,0.000467364,761.7153474,-3.082867508,0.542714,-5.680464309,1.34E-08,2.11E-07
FBgn0265187,71.57207983,-1.40554415,0.334265523,-4.204873231,2.61E-05,0.000231674,71.57207983,-1.65847276,0.334574132,-4.956966487,7.16E-07,8.49E-06
FBgn0266046,201.3286229,-6.070766041,0.550389661,-11.02994201,2.74E-28,4.53E-26,201.3286229,-3.087296302,0.49273912,-6.265579845,3.71E-10,7.46E-09
FBgn0268063,974.0054503,-3.680802677,0.467615099,-7.87143675,3.51E-15,1.43E-13,974.0054503,-2.88436811,0.46567822,-6.193908117,5.87E-10,1.15E-08
FBgn0283451,18476.01791,-2.26667669,0.346753568,-6.53685182,6.28E-11,1.60E-09,18476.01791,-1.510851813,0.346695119,-4.357868719,1.31E-05,0.000121363
FBgn0285879,75.52901969,-5.254737497,0.590169891,-8.903770888,5.40E-19,3.77E-17,75.52901969,-1.684755329,0.455517356,-3.698553537,0.000216832,0.00150373
