,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0030183,546.4297919,-3.324573316,0.857751453,-3.875916857,0.000106224,0.002617075
FBgn0016984,3375.545103,-2.888207799,0.745952545,-3.87183852,0.000108018,0.002654186
FBgn0264493,742.2976611,-1.434936153,0.371222766,-3.865431448,0.000110893,0.002717614
FBgn0037757,457.1426147,0.454748784,0.117845403,3.858858918,0.000113918,0.002784353
FBgn0023197,23.3486174,5.285705863,1.37208383,3.852319914,0.000117004,0.002852243
FBgn0026576,374.1982943,1.562528792,0.406062437,3.848001321,0.000119085,0.002887743
FBgn0032536,21.45867839,1.954402403,0.507866558,3.848259692,0.00011896,0.002887743
FBgn0041588,837.4661238,1.149830387,0.298872962,3.847221171,0.000119465,0.002889367
FBgn0086655,449.7043387,-2.161992696,0.562492228,-3.843595675,0.000121245,0.002924751
FBgn0034432,1017.133126,-0.848132029,0.220725236,-3.842478757,0.000121798,0.002930446
FBgn0000318,652.8540909,0.971712389,0.25360869,3.831542167,0.000127343,0.003047973
FBgn0025186,550.597482,-2.259222996,0.589601585,-3.831779042,0.00012722,0.003047973
FBgn0051326,38.16105006,6.0619451,1.586039028,3.82206553,0.000132339,0.003158308
FBgn0031022,80.03072772,1.756534001,0.459643718,3.82151204,0.000132636,0.003158308
FBgn0037538,231.8742,-1.649292284,0.431861492,-3.819030668,0.000133977,0.003182042
FBgn0033438,199.1222028,-4.81607944,1.263296626,-3.812310856,0.000137674,0.003261452
FBgn0028953,1373.741107,-1.054703079,0.276874025,-3.809324762,0.000139347,0.003289104
FBgn0035734,51.85029187,3.558712073,0.934300332,3.808959442,0.000139553,0.003289104
FBgn0038980,15.070639,-6.047307132,1.588169261,-3.80772206,0.000140253,0.003297189
FBgn0033377,1660.495021,1.153228309,0.303042529,3.805499883,0.000141518,0.003318491
FBgn0004914,586.7354768,-1.334258495,0.351422369,-3.796737525,0.000146613,0.003429257
FBgn0004591,527.07437,-6.945614081,1.83046162,-3.794460373,0.000147965,0.003452141
FBgn0000395,209.0523057,2.725263822,0.719043501,3.790123713,0.000150572,0.003504124
FBgn0260745,2050.142042,-1.748992772,0.461863157,-3.786820289,0.000152587,0.003542097
FBgn0030251,1184.521016,2.131854005,0.563652209,3.782215295,0.000155439,0.003599246
FBgn0038330,96.2461652,3.370137861,0.891558285,3.780053326,0.000156795,0.003621567
FBgn0026372,28631.30284,0.339832118,0.089937773,3.778524951,0.00015776,0.003634776
FBgn0022987,339.4694349,-0.91842209,0.243262167,-3.775441536,0.000159724,0.003670882
FBgn0026076,460.3406055,-0.853824553,0.226220012,-3.774310437,0.000160451,0.003678426
FBgn0038471,112.4390204,-0.857293229,0.22728779,-3.771840225,0.000162048,0.003705846
FBgn0031229,323.5415359,-0.919747755,0.243890641,-3.771148211,0.000162498,0.003706963
FBgn0029824,272.7320882,-4.251809936,1.131530341,-3.757574838,0.000171568,0.00390423
FBgn0266410,4136.091608,-1.771280243,0.472244447,-3.750769874,0.000176292,0.004001882
FBgn0053181,212.8850644,2.474487312,0.659840911,3.750127148,0.000176745,0.00400232
FBgn0038681,226.9130307,1.997661304,0.532912878,3.748570148,0.000177846,0.004017397
FBgn0262517,1729.339199,0.671361612,0.179359721,3.743101349,0.000181763,0.004078059
FBgn0283535,6726.693184,-0.963918886,0.257527556,-3.742973761,0.000181855,0.004078059
FBgn0036967,366.5884779,-0.408814364,0.109205273,-3.743540532,0.000181445,0.004078059
FBgn0015572,21.1775041,1.8607934,0.498046639,3.736183029,0.000186835,0.004161118
FBgn0086687,7345.800895,1.192922512,0.31923283,3.736841573,0.000186346,0.004161118
FBgn0022699,417.005645,0.578861625,0.154938178,3.736081275,0.00018691,0.004161118
FBgn0028563,316.3045678,1.49387856,0.400415476,3.730821234,0.000190857,0.004236052
FBgn0000320,13.26036274,-7.247706886,1.942888389,-3.730377374,0.000191193,0.004236052
FBgn0039923,1836.496116,-0.522531323,0.140112833,-3.729360917,0.000191966,0.004243
FBgn0003517,33300.125,0.587317019,0.157513704,3.728672516,0.000192491,0.004244452
FBgn0038208,5.011495639,-6.521309211,1.749631697,-3.727246838,0.000193583,0.004248247
FBgn0085188,386.6096268,-1.081411879,0.290099124,-3.727732312,0.00019321,0.004248247
FBgn0020279,5134.710018,-1.175224861,0.315443639,-3.725625481,0.000194832,0.004265517
FBgn0004435,449.0815685,-0.775659158,0.208288714,-3.723961524,0.000196121,0.004283594
FBgn0263607,42.8141256,1.714826096,0.460591214,3.723097709,0.000196793,0.004288145
FBgn0038109,9.016892238,-4.473328545,1.20177074,-3.722281128,0.000197431,0.004291918
FBgn0004878,8.461580483,-8.164206663,2.193875057,-3.721363546,0.00019815,0.004297435
FBgn0053198,92.36827689,-1.913345628,0.51499782,-3.715249954,0.000203003,0.004392375
FBgn0030425,346.1851816,3.009878075,0.810473167,3.713729458,0.000204227,0.004408538
FBgn0051997,189.7164226,1.644015136,0.443333401,3.708304249,0.000208652,0.004493554
FBgn0266450,442.509608,-1.463142875,0.394824918,-3.705801759,0.000210723,0.004527096
FBgn0030360,55.14201417,-2.401555912,0.648150961,-3.705241611,0.000211189,0.004527096
FBgn0266737,305.880559,-3.725454476,1.006789404,-3.700331432,0.000215318,0.004604916
FBgn0016754,606.1056007,-1.317303127,0.356084394,-3.699412694,0.000216099,0.004610943
FBgn0026598,106.0452685,-2.550622769,0.689683752,-3.698249755,0.000217091,0.004621442
FBgn0038037,154.2730268,1.695668188,0.458610642,3.697402613,0.000217817,0.004626227
FBgn0037623,368.5057661,-3.071838132,0.831150592,-3.695886355,0.000219121,0.004632629
FBgn0028480,642.4637596,0.888480328,0.240363533,3.696402355,0.000218676,0.004632629
FBgn0052451,1033.740831,0.955970851,0.25902134,3.690703061,0.000223635,0.004706525
FBgn0010341,2056.679048,-0.598822946,0.162241322,-3.690939753,0.000223427,0.004706525
FBgn0038105,34.95733327,3.852774535,1.045102724,3.686503199,0.000227357,0.004773972
FBgn0037327,1092.837795,0.718033436,0.194838688,3.685271366,0.000228459,0.004786244
FBgn0023174,1153.331782,-0.502042689,0.136339448,-3.682299554,0.00023114,0.004831445
FBgn0053094,730.7554963,-0.721454754,0.196043447,-3.68007584,0.000233165,0.004862771
FBgn0025549,147.963115,-1.917844402,0.521317298,-3.678842828,0.000234295,0.004875333
FBgn0264495,1334.29048,-1.521528757,0.414050759,-3.67473969,0.000238092,0.004943219
