"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0034883",414.427785185324,-4.70585435987466,0.422998892869108,-11.1249803231301,9.48267952534613e-29,9.29681900664934e-25
"FBgn0035956",4.45645826254786,20.699980225959,1.89466994305403,10.9253753150232,8.71792404093411e-28,4.2735263648659e-24
"FBgn0015221",212202.181747509,7.89365626233252,0.752260173403478,10.493252921551,9.27781172669747e-26,3.03198887228473e-22
"FBgn0086681",73.8319260860167,-4.26498029410509,0.421352095327476,-10.1221290730507,4.40722678164867e-24,1.08021128418209e-20
"FBgn0262614",2294.2535745361,2.43869223868918,0.247203300936153,9.8651281332163,5.89591235248557e-23,1.15607049407537e-19
"FBgn0033250",267.809195646715,16.7084588789651,1.79350629657961,9.31608598800556,1.2071125215853e-20,1.69064730880318e-17
"FBgn0259175",1774.13120702064,-2.92552971096487,0.313796944147111,-9.32300255159067,1.13093640457612e-20,1.69064730880318e-17
"FBgn0028400",108.697586787378,-4.60416832629146,0.504646414095769,-9.12355304167028,7.27008991537039e-20,8.90949519128642e-17
"FBgn0035057",5.69051381628925,20.8681238645806,2.40897766923648,8.66264728439543,4.60932880790538e-18,5.02109551474492e-15
"FBgn0001186",1728.2982470158,-1.13282647606641,0.131025262018514,-8.64586308483273,5.34001134864208e-18,5.23534712620869e-15
"FBgn0032923",431.277250678594,1.26913074292553,0.152927387242609,8.29891078248882,1.05070234053518e-16,9.36462340600627e-14
"FBgn0032472",78.2250764145429,15.758269909205,1.95156135841734,8.0746986720338,6.7643480642514e-16,5.52647236849339e-13
"FBgn0015222",65506.7501461043,6.28180885118785,0.78377076259653,8.01485479041989,1.10267212723555e-15,8.31584425801331e-13
"FBgn0261349",44.8789098282803,-4.21378925393933,0.540416290945722,-7.79730242137084,6.32445483927593e-15,4.42892537459009e-12
"FBgn0025583",365.469350661656,-20.6139763713266,2.64790850018536,-7.78500328462392,6.97113963168061e-15,4.55633686326645e-12
"FBgn0022359",546.73476414879,-4.18361674275485,0.544168982017176,-7.68808381405099,1.49354961580718e-14,9.15172527085851e-12
"FBgn0031081",289.812315007639,-4.9301030244376,0.655116293382276,-7.5255387085309,5.25033961843115e-14,3.02790174229994e-11
"FBgn0010039",4190.25990739504,7.35434541584061,0.984866512156874,7.46735250418301,8.18243604969e-14,4.45670016839782e-11
"FBgn0261801",54.3747602166823,3.2675930731732,0.440694803726156,7.41463944104877,1.21956135075382e-13,6.29293656988974e-11
"FBgn0001257",218.545625100495,4.15532497173795,0.566352083089112,7.33699953759,2.18435364126348e-13,1.07077015494736e-10
"FBgn0010038",910.220552236484,9.24476741411524,1.2768329985968,7.24038885607982,4.47400104123053e-13,2.08871934324877e-10
"FBgn0028397",125.008651500775,-2.73345203749082,0.37992838599096,-7.19465072440221,6.26208574536681e-13,2.79061312034437e-10
"FBgn0028740",34.0197006932098,9.65222698275594,1.3550077318245,7.12337410042621,1.05316453775407e-12,4.30217713672536e-10
"FBgn0286075",350.803035006896,1.52930569740262,0.214518923096703,7.12900137352088,1.01099725679687e-12,4.30217713672536e-10
"FBgn0034511",141.473840492187,-30.7707328129762,4.34191472345815,-7.08690399807499,1.3714544870088e-12,5.3782959162537e-10
"FBgn0033000",165.662913403651,1.48140642817007,0.210432832397838,7.03980653251562,1.92506935481903e-12,7.10955093444477e-10
"FBgn0052579",93.177466891145,1.62449367484151,0.230835688083606,7.03744593536654,1.95795466370878e-12,7.10955093444477e-10
"FBgn0024150",225.515610909553,6.71807493871238,0.970820626185978,6.91999609145656,4.51656106721712e-12,1.58144159653559e-09
"FBgn0040294",322.863089144113,2.08723872989004,0.305759800058957,6.82640010062665,8.70718781141124e-12,2.94362997596813e-09
"FBgn0260965",274.63067258036,2.15514993865707,0.321728045249359,6.69866979419433,2.10325245585039e-11,6.87342902571907e-09
"FBgn0003866",167.604852253403,7.11680830234547,1.06992445699424,6.65169232820309,2.89741906299525e-11,9.16332144955013e-09
"FBgn0001075",466.01210478979,5.19437542962104,0.787523066551835,6.59583909378627,4.22857350557875e-11,1.29552920777169e-08
"FBgn0027506",774.335611673933,-1.13694535352798,0.17303961927123,-6.57043374411201,5.01689041211784e-11,1.49047253334555e-08
"FBgn0033395",196.7317494625,-5.95211355103381,0.919931200238771,-6.47017249712687,9.78911022213377e-11,2.82271872405293e-08
"FBgn0260003",6007.67322766463,-1.16299366519793,0.181427448607892,-6.41024097578224,1.45289804433594e-10,4.06977497904845e-08
"FBgn0013679",2713.06237216496,-1.63891728532402,0.256143359356407,-6.39843753686221,1.56974933717682e-10,4.27495069491155e-08
"FBgn0031777",224.888457807599,3.27027558378855,0.514717558314771,6.35353414889461,2.10423447383716e-10,5.57565264364853e-08
"FBgn0000273",3239.29978701678,-1.80209578204628,0.285039992588141,-6.32225592515417,2.57771985311591e-10,6.65051722103905e-08
"FBgn0266268",382.903212325812,1.84173177927411,0.291840973417332,6.31073751470956,2.77708854935077e-10,6.98117336867563e-08
"FBgn0035811",43.6749772024754,-3.44763662293872,0.547573749487649,-6.29620507952507,3.05020772963419e-10,7.47605914533339e-08
"FBgn0033340",348.28617773485,-1.01823838191751,0.162406696171664,-6.26968226015281,3.6178559632985e-10,8.44510949147108e-08
"FBgn0267187",18.1904851335214,-4.63821852278856,0.739343526954893,-6.27342818823588,3.53183862111033e-10,8.44510949147108e-08
"FBgn0027590",1947.04915436388,-0.94610890480558,0.152245566454554,-6.21436096195287,5.15339412816726e-10,1.17497386122213e-07
"FBgn0039228",27.9659943105425,-4.17948840894258,0.676970260916481,-6.17381390326422,6.66620008687186e-10,1.48535058299299e-07
